primaryTitle,startYear,runtimeMinutes,genres,region,language,averageRating,numVotes
Chasing Rainbows,1930,96,"Comedy,Drama,Musical",IN,en,5.9,292
All Quiet on the Western Front,1930,152,"Drama,War",IN,en,8.1,71011
The Apache Kid's Escape,1930,61,"Drama,Western",IN,en,3.7,131
The Bat Whispers,1930,84,"Crime,Drama,Horror",IN,en,6.3,1410
Beau Ideal,1930,79,"Adventure,Romance,War",IN,en,4.9,258
The Big House,1930,87,"Crime,Drama,Thriller",IN,en,7.1,2851
The Boudoir Diplomat,1930,68,"Comedy,Romance",IN,en,7.9,21
Call of the Flesh,1930,100,"Musical,Romance",IN,en,5.5,244
Caught Short,1930,75,Comedy,IN,en,7.1,20
Charley's Aunt,1930,88,Comedy,IN,en,5.7,152
The Dawn Patrol,1930,108,"Action,Drama,War",IN,en,7.1,2199
The Devil to Pay!,1930,72,"Comedy,Romance",IN,en,6.6,883
The Doorway to Hell,1930,78,"Crime,Drama",IN,en,6.5,1489
Doughboys,1930,79,"Comedy,Romance,War",IN,en,5.8,591
Fast and Loose,1930,70,"Comedy,Romance",IN,en,6.2,358
The Florodora Girl,1930,79,"Drama,Musical,Mystery",IN,en,6.0,1443
For the Defense,1930,65,"Crime,Drama,Romance",IN,en,6.4,715
Free and Easy,1930,92,"Comedy,Musical",IN,en,5.5,1092
The Girl Said No,1930,93,"Comedy,Romance",IN,en,5.1,878
The Grand Parade,1930,70,"Comedy,Drama,Romance",IN,en,5.6,18
Heads Up,1930,76,"Comedy,Musical,Romance",IN,en,5.5,81
Holiday,1930,91,"Comedy,Drama",IN,en,6.3,791
In Gay Madrid,1930,82,"Drama,Musical,Romance",IN,en,5.2,111
King of Jazz,1930,99,"Animation,Comedy,Musical",IN,en,6.7,1815
Kismet,1930,90,"Adventure,Fantasy,Musical",IN,en,6.1,90
The Life of the Party,1930,79,"Comedy,Musical",IN,en,5.4,216
Little Accident,1930,82,Comedy,IN,en,5.7,47
Little Caesar,1931,79,"Action,Crime,Drama",IN,en,7.2,15372
Love Comes Along,1930,77,Drama,IN,en,6.4,62
Madam Satan,1930,116,"Comedy,Drama,Musical",IN,en,6.3,1404
Man Trouble,1930,85,"Crime,Drama,Music",IN,en,5.7,41
Murder!,1930,92,"Crime,Drama,Mystery",IN,en,6.3,7624
New Moon,1930,78,"Drama,Musical,Romance",IN,en,5.9,222
"No, No, Nanette",1930,98,"Comedy,Musical",IN,en,6.3,47
Not So Dumb,1930,76,"Comedy,Romance",IN,en,5.8,1177
One Romantic Night,1930,73,"Comedy,Romance",IN,en,5.6,489
Outside the Law,1930,79,"Crime,Drama,Romance",IN,en,5.5,246
Parade of the West,1930,66,"Drama,Western",IN,en,6.2,18
Rain or Shine,1930,88,"Comedy,Drama,Romance",IN,hi,5.5,548
Reaching for the Moon,1930,91,"Comedy,Romance",IN,en,5.4,531
The Rogue Song,1930,104,"Musical,Romance",IN,en,5.5,229
A Royal Romance,1930,66,"Comedy,Drama,Romance",IN,en,6.5,24
Shadow of the Law,1930,69,"Crime,Drama,Mystery",IN,en,6.2,208
A Warm Corner,1930,104,"Comedy,Romance",IN,en,6.4,76
Whoopee!,1930,93,"Comedy,Musical,Romance",IN,en,6.3,1282
The Light of the World,1931,124,"Drama,Fantasy",IN,en,6.9,148
Always Goodbye,1931,62,Drama,IN,en,7.3,18
An American Tragedy,1931,96,"Crime,Drama,Romance",IN,en,6.4,1043
Arrowsmith,1931,108,Drama,IN,en,6.2,2171
Bad Sister,1931,68,Drama,IN,en,6.1,1652
Bachelor's Folly,1931,80,Drama,IN,en,6.0,22
City Lights,1931,87,"Comedy,Drama,Romance",IN,en,8.5,210512
City Streets,1931,83,"Crime,Drama,Film-Noir",IN,en,7.0,2053
A Connecticut Yankee,1931,95,"Comedy,Family,Fantasy",IN,en,6.3,478
Cracked Nuts,1931,65,"Comedy,Musical,Romance",IN,en,6.1,408
Dirigible,1931,100,Adventure,IN,en,6.3,832
Don't Bet on Women,1931,70,"Comedy,Romance",IN,en,6.1,188
East Lynne,1931,102,"Drama,Romance",IN,en,5.7,410
East of Borneo,1931,77,"Adventure,Horror,Romance",IN,en,5.5,279
Five Star Final,1931,89,"Crime,Drama",IN,en,7.3,2743
Frankenstein,1931,70,"Drama,Horror,Sci-Fi",IN,en,7.7,85912
A Free Soul,1931,93,"Crime,Drama,Romance",IN,hi,6.6,3154
Guilty Hands,1931,69,"Crime,Drama",IN,en,6.9,1111
The Smiling Lieutenant,1931,93,"Comedy,Musical,Romance",IN,en,7.1,4302
M,1931,99,"Crime,Mystery,Thriller",IN,hi,8.3,179932
The Man in Possession,1931,84,Comedy,IN,en,6.9,441
Marner Parey,1931,\N,\N,IN,en,2.8,8
Men with Wings,1938,105,"Action,Drama,Romance",IN,en,6.1,229
Murder by the Clock,1931,76,"Crime,Horror,Mystery",IN,en,6.0,428
Pardon Us,1931,56,Comedy,IN,en,6.8,3032
"Parlor, Bedroom and Bath",1931,73,Comedy,IN,en,6.1,1107
Platinum Blonde,1931,89,"Comedy,Romance",IN,hi,6.7,3901
Politics,1931,73,"Comedy,Romance",IN,en,6.3,312
Private Lives,1931,84,"Comedy,Drama,Romance",IN,en,6.7,1470
The Prodigal,1931,76,"Musical,Romance",IN,en,5.5,109
The Public Enemy,1931,83,"Crime,Drama",IN,en,7.6,24344
Resurrection,1931,81,Drama,IN,en,5.5,30
The Ridin' Fool,1931,58,"Drama,Western",IN,en,7.5,26
The Secret 6,1931,83,"Crime,Drama",IN,en,6.3,1193
Sherlock Holmes' Fatal Hour,1931,72,"Crime,Mystery",IN,en,5.9,511
The Skin Game,1931,85,Drama,IN,en,5.7,3882
Skippy,1931,85,"Comedy,Drama,Family",IN,en,6.3,1144
Smart Money,1931,81,"Crime,Drama",IN,en,6.8,2408
Son of India,1931,73,"Drama,Romance",IN,en,6.1,221
The Spirit of Notre Dame,1931,80,"Drama,Sport",IN,en,5.3,123
Strangers May Kiss,1931,81,"Drama,Romance",IN,en,5.9,612
The Struggle,1931,87,Drama,IN,en,5.9,406
Susan Lenox (Her Fall and Rise),1931,76,"Drama,Romance",IN,en,6.3,1415
Ten Cents a Dance,1931,75,"Crime,Drama,Romance",IN,en,6.5,1113
Trader Horn,1931,122,"Action,Adventure,Drama",IN,en,6.1,1294
Boudu Saved from Drowning,1932,85,Comedy,IN,en,7.2,6575
Chandidas,1932,133,Drama,IN,\N,6.8,35
Doctor X,1932,76,"Comedy,Crime,Horror",IN,en,6.4,4687
Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",IN,en,7.6,17322
Ecstasy,1933,82,"Drama,Romance",IN,en,6.6,3013
A Farewell to Arms,1932,80,"Drama,Romance,War",IN,en,6.4,7385
Freaks,1932,64,"Drama,Horror",IN,en,7.8,53829
The Kid from Spain,1932,96,"Comedy,Musical,Romance",IN,en,6.5,643
Nice Women,1931,70,"Comedy,Romance",IN,en,7.0,33
Night After Night,1932,73,"Comedy,Drama",IN,en,6.7,1339
The Night Rider,1932,72,"Drama,Western",IN,en,5.5,96
Rome Express,1932,94,"Adventure,Crime,Drama",IN,en,6.6,657
The Savage Girl,1932,66,"Adventure,Comedy",IN,en,4.4,259
Scarface,1932,93,"Action,Crime,Drama",IN,en,7.7,32567
Shopworn,1932,72,"Drama,Romance",IN,hi,6.3,1144
The Sign of the Cross,1932,125,"Drama,History",IN,en,6.8,2948
Silver Dollar,1932,83,"Biography,Drama",IN,en,6.3,542
Tarzan the Ape Man,1932,100,"Action,Adventure,Romance",IN,hi,6.9,8779
The Testament of Dr. Mabuse,1933,122,"Crime,Mystery,Thriller",IN,en,7.9,14320
Two Seconds,1932,67,"Crime,Drama,Thriller",IN,en,6.9,1371
Abe Hayat,1933,\N,Drama,IN,\N,3.2,18
Berkeley Square,1933,88,"Fantasy,Romance",IN,en,6.5,1054
Brewster's Millions,1935,80,"Comedy,Musical",IN,en,7.3,94
The Devil's Brother,1933,90,"Comedy,Musical",IN,en,7.0,2194
Doctor Bull,1933,77,"Comedy,Drama,Romance",IN,en,6.4,787
Flüchtlinge,1933,87,"Adventure,Drama,War",IN,en,4.6,96
The Ghoul,1933,80,"Action,Drama,Horror",IN,hi,5.8,3648
I Cover the Waterfront,1933,72,"Crime,Drama,Romance",IN,en,6.1,837
The Invisible Man,1933,71,"Horror,Sci-Fi",IN,en,7.6,43291
King Kong,1933,100,"Adventure,Horror",IN,en,7.9,94782
Lady Killer,1933,76,"Comedy,Crime,Drama",IN,en,7.0,2196
A Song for You,1933,89,Comedy,IN,en,6.6,20
The Little Giant,1933,76,"Comedy,Crime,Romance",IN,en,7.0,1509
Little Women,1933,115,"Drama,Family,Romance",IN,hi,7.1,8392
Made on Broadway,1933,68,"Comedy,Drama",IN,en,6.2,202
My Woman,1933,76,"Drama,Romance",IN,en,6.2,155
Oliver Twist,1933,80,"Drama,Family,Mystery",IN,hi,5.1,443
Picture Snatcher,1933,77,"Crime,Drama",IN,en,7.0,1958
Rafter Romance,1933,73,"Comedy,Romance",IN,en,6.6,975
She Done Him Wrong,1933,66,"Comedy,Drama,History",IN,en,6.3,7513
