primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,language
All Quiet on the Western Front,1930,152,"Drama,War",8.1,71011,hi
Rain or Shine,1930,88,"Comedy,Drama,Romance",5.5,548,hi
City Lights,1931,87,"Comedy,Drama,Romance",8.5,210512,hi
Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.7,85912,hi
A Free Soul,1931,93,"Crime,Drama,Romance",6.6,3154,hi
M,1931,99,"Crime,Mystery,Thriller",8.3,179932,hi
Platinum Blonde,1931,89,"Comedy,Romance",6.7,3901,hi
Scarface,1932,93,"Action,Crime,Drama",7.7,32567,hi
Shopworn,1932,72,"Drama,Romance",6.3,1144,hi
Tarzan the Ape Man,1932,100,"Action,Adventure,Romance",6.9,8779,hi
The Ghoul,1933,80,"Action,Drama,Horror",5.8,3648,hi
Little Women,1933,115,"Drama,Family,Romance",7.1,8392,hi
Oliver Twist,1933,80,"Drama,Family,Mystery",5.1,443,hi
The Story of Temple Drake,1933,70,"Crime,Drama",7.1,2098,hi
A Man's Head,1933,90,"Crime,Mystery,Thriller",7.1,762,hi
Amrit Manthan,1934,155,Drama,4.8,25,mr
It Happened One Night,1934,105,"Comedy,Romance",8.1,118215,hi
High School Girl,1934,55,Drama,5.1,67,hi
Cain and Mabel,1936,90,"Comedy,Musical,Mystery",6.3,2182,hi
Jeevan Naya,1936,140,Drama,6.6,14,hi
Modern Times,1936,87,"Comedy,Drama,Romance",8.5,278168,hi
Sabotage,1936,76,"Crime,Thriller",7.0,20201,hi
The Story of Louis Pasteur,1936,86,"Biography,Drama,History",7.3,3446,hi
Captains Courageous,1937,117,"Adventure,Drama,Family",7.9,11647,hi
Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",7.6,234736,ta
The Amazing Dr. Clitterhouse,1938,87,"Crime,Drama",7.0,3197,hi
Angels with Dirty Faces,1938,97,"Crime,Drama,Film-Noir",7.9,24454,hi
The Dybbuk,1937,108,"Drama,Fantasy,Musical",6.6,801,hi
Santa Fe Stampede,1938,55,"Drama,Western",6.0,513,hi
You Can't Take It with You,1938,126,"Comedy,Drama,Romance",7.8,29778,hi
Gone with the Wind,1939,238,"Drama,Romance,War",8.2,351525,hi
"Goodbye, Mr. Chips",1939,114,"Drama,Romance",7.9,12167,hi
The Hound of the Baskervilles,1939,80,"Crime,Mystery,Thriller",7.4,12580,hi
The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.1,458465,hi
Wuthering Heights,1939,104,"Drama,Romance",7.5,21155,hi
The Great Dictator,1940,125,"Comedy,Drama,War",8.4,252776,hi
Pinocchio,1940,88,"Adventure,Animation,Comedy",7.5,169522,hi
Rebecca,1940,130,"Drama,Mystery,Romance",8.1,160830,hi
Second Chorus,1940,84,"Comedy,Musical,Romance",5.7,1873,hi
The Thief of Bagdad,1940,106,"Adventure,Family,Fantasy",7.4,15513,hi
Waterloo Bridge,1940,108,"Drama,Romance,War",7.7,11623,hi
Citizen Kane,1941,119,"Drama,Mystery",8.2,487701,hi
Hold That Ghost,1941,86,"Comedy,Crime,Horror",7.2,4543,hi
Arabian Nights,1942,86,"Action,Adventure,Comedy",6.1,1799,hi
Bambi,1942,69,"Adventure,Animation,Drama",7.3,162471,hi
Casablanca,1942,102,"Drama,Romance,War",8.5,642562,hi
Why We Fight,1942,52,"Documentary,War",7.0,2548,hi
The Gentle Sex,1943,92,"Comedy,Drama,Romance",6.2,548,hi
Watch on the Rhine,1943,114,"Drama,Thriller",7.1,5356,hi
Double Indemnity,1944,107,"Crime,Drama,Film-Noir",8.3,177649,hi
Gaslight,1944,114,"Crime,Drama,Mystery",7.8,36874,hi
National Velvet,1944,123,"Drama,Family,Sport",7.3,8638,hi
Phool,1945,122,Drama,7.7,16,hi
Ratan,1944,118,"Musical,Romance",7.2,46,hi
Towards the Light,1944,122,Drama,7.3,40,hi
The Affairs of Susan,1945,110,"Comedy,Drama,Romance",6.5,464,hi
Conflict,1945,86,"Drama,Film-Noir,Mystery",7.1,5258,hi
The Ghost Lady,1945,101,"Drama,Romance",6.8,61,hi
Mildred Pierce,1945,111,"Crime,Drama,Film-Noir",7.9,30644,hi
The Woman in Green,1945,68,"Crime,Drama,Horror",6.6,7449,hi
"A Boy, a Girl and a Dog",1946,75,"Action,Drama,War",6.6,99,hi
It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,536625,hi
Make Mine Music,1946,75,"Adventure,Animation,Comedy",6.1,5393,hi
Shahjehan,1946,121,"Drama,History,Romance",7.2,47,hi
Dil-Ki-Rani (Sweet-Heart),1947,130,"Comedy,Romance",7.4,75,hi
A Double Life,1947,104,"Crime,Drama,Film-Noir",6.9,4291,hi
Good News,1947,93,"Comedy,Musical,Romance",6.7,2948,hi
Miracle on 34th Street,1947,96,"Comedy,Drama,Family",7.9,58477,hi
Nightmare Alley,1947,110,"Drama,Film-Noir",7.7,14228,hi
Road to Rio,1947,100,"Adventure,Comedy,Musical",6.9,3671,hi
B.F.'s Daughter,1948,108,"Drama,Romance",6.2,919,hi
Port of Call,1948,100,Drama,6.6,3023,hi
Bicycle Thieves,1948,89,Drama,8.2,189309,hi
Portrait of Jennie,1948,86,"Drama,Fantasy,Mystery",7.6,8285,hi
Red River,1948,133,"Drama,Western",7.7,37053,hi
Rope,1948,80,"Crime,Drama,Mystery",7.9,162742,hi
Scott of the Antarctic,1948,111,"Action,Adventure,Biography",7.0,2713,hi
The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,139462,hi
All the King's Men,1949,110,"Drama,Film-Noir",7.4,17820,hi
Barsaat,1949,171,"Drama,Musical,Romance",7.2,766,hi
Mahal,1949,165,"Drama,Horror,Mystery",6.8,551,hi
"Red, Hot and Blue",1949,84,"Comedy,Crime,Musical",5.9,317,hi
The Third Man,1949,104,"Drama,Film-Noir,Mystery",8.1,192450,hi
Under Capricorn,1949,117,"Crime,Drama,Romance",6.2,8742,hi
All About Eve,1950,138,Drama,8.2,147102,hi
Arzoo,1950,128,"Musical,Romance",7.2,73,hi
Bawre Nain,1950,138,"Drama,Romance",6.7,50,hi
Born Yesterday,1950,103,"Comedy,Drama,Romance",7.5,13378,hi
Cinderella,1950,74,"Animation,Family,Fantasy",7.3,183972,hi
Dastan,1950,122,"Drama,Family,Romance",6.9,85,hi
Kiss Tomorrow Goodbye,1950,102,"Crime,Film-Noir,Thriller",7.1,2751,hi
Mashaal,1950,136,Drama,7.6,13,bn
The Next Voice You Hear...,1950,83,"Drama,Fantasy",6.3,965,hi
Rashomon,1950,88,"Crime,Drama,Mystery",8.1,193035,hi
Sunset Boulevard,1950,110,"Drama,Film-Noir",8.4,253762,hi
Alice in Wonderland,1951,75,"Adventure,Animation,Comedy",7.3,163511,hi
Awaara,1951,168,"Drama,Musical,Romance",7.8,4843,hi
Bahar,1951,170,Drama,6.0,35,hi
The Day the Earth Stood Still,1951,92,"Drama,Sci-Fi",7.7,88970,hi
The Affairs of Messalina,1951,116,"Action,Drama,History",5.5,146,hi
Pathala Bhairavi,1951,192,"Action,Adventure,Family",8.5,837,hi
Peking Express,1951,95,"Action,Drama,Film-Noir",5.7,185,hi
The Racket,1951,88,"Crime,Drama,Film-Noir",6.7,3593,hi
Sirocco,1951,98,"Action,Drama,Film-Noir",6.2,3012,hi
Strangers on a Train,1951,101,"Crime,Drama,Film-Noir",7.9,147324,hi
A Streetcar Named Desire,1951,122,Drama,7.9,118753,hi
Take Care of My Little Girl,1951,93,Drama,6.4,393,hi
Daag,1952,149,"Drama,Romance",6.8,217,hi
High Noon,1952,85,"Drama,Thriller,Western",7.9,114996,hi
Ikiru,1952,143,Drama,8.3,99497,hi
The Jungle,1952,73,"Adventure,Drama,Sci-Fi",4.7,175,ta
Loan Shark,1952,80,"Crime,Drama,Film-Noir",6.4,883,hi
Pat and Mike,1952,95,"Comedy,Romance,Sport",6.9,6457,hi
Road to Bali,1952,91,"Adventure,Comedy,Fantasy",6.4,5474,hi
The Steel Trap,1952,85,"Crime,Drama,Film-Noir",6.9,1807,hi
Aah,1953,150,"Drama,Musical,Romance",6.8,330,hi
Anarkali,1953,175,"History,Musical,Romance",7.2,103,hi
Aurat,1953,\N,"Action,Adventure,Drama",5.2,24,hi
Do Bigha Zamin,1953,131,Drama,8.3,2457,hi
Gentlemen Prefer Blondes,1953,91,"Comedy,Musical,Romance",7.1,46257,hi
It Came from Outer Space,1953,81,"Horror,Sci-Fi",6.5,12483,hi
The Living Desert,1953,69,"Documentary,Family",7.3,1882,hi
Niagara,1953,92,"Drama,Film-Noir,Thriller",7.0,21529,hi
Papi,1953,111,"Crime,Drama",7.6,66,hi
Peter Pan,1953,77,"Adventure,Animation,Family",7.3,162550,hi
Project Moon Base,1953,63,Sci-Fi,3.4,1486,hi
Roman Holiday,1953,118,"Comedy,Drama,Romance",8.0,156105,hi
Shane,1953,118,"Drama,Western",7.6,46843,hi
Sharey Chuattar,1953,98,"Comedy,Romance",8.2,508,hi
Titanic,1953,98,"Drama,History,Romance",7.0,8094,hi
Tokyo Story,1953,137,Drama,8.1,75908,hi
The War of the Worlds,1953,87,"Action,Sci-Fi,Thriller",7.0,40871,te
This or That,1954,146,"Musical,Romance,Thriller",6.6,380,hi
Black Tuesday,1954,80,"Crime,Drama,Film-Noir",6.7,1342,hi
Black Widow,1954,95,"Drama,Film-Noir,Mystery",6.7,3609,hi
Boot Polish,1954,90,"Comedy,Drama,Family",7.8,923,hi
Dial M for Murder,1954,105,"Crime,Drama,Mystery",8.2,201420,hi
Godzilla,1954,96,"Horror,Sci-Fi",7.6,44237,kn
Ilzam,1954,133,"Drama,Family,Romance",6.4,12,hi
Jail Bait,1954,71,"Crime,Drama,Film-Noir",3.7,3018,hi
The Last Time I Saw Paris,1954,116,"Drama,Romance",6.1,4648,hi
Naukari,1955,142,"Drama,Family",7.2,171,hi
On the Waterfront,1954,108,"Crime,Drama,Thriller",8.1,175232,hi
Rear Window,1954,112,"Drama,Mystery,Thriller",8.5,557012,hi
Sabrina,1954,113,"Comedy,Drama,Romance",7.6,74516,bn
Saskatchewan,1954,87,"Adventure,Drama,Western",6.3,1289,hi
Seven Samurai,1954,207,"Action,Drama",8.6,392177,hi
